product_title,product_image,price,pack_size,price_per_unit
Market Fare Corn Kernels 1kg,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2017_Frozen_Products/ALN0977_VEG_AWARDS_PD_388x314_.jpg,$2.99,,$2.99 per kg
Market Fare Corn Cobs 1kg,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2017_Frozen_Products/ALN0533_PD_FROZEN_388x314_.jpg,$2.99,,$2.99 per kg
Hedafen Ibuprofen Liquid Gel Capsules 20pk,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2021/Monthly/Q3_PRICE_OCTOBER/ALN3612_PD_SSV-OCT-B2_388x314_30.jpg,$2.39,20pk,12c per capsule
Hedafen Ibuprofen 24pk,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-8_HEALTH_PD_388x314_7.jpg,$1.49,24pk,6c per tablet
Essential Health Eucalyptus Oil 100ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/2021/Q3/ALN3510_Q3_HEALTH_PD_388x314_3a.jpg,$7.49,100ml,$7.49 per 100ml
Essential Health Paw Paw Ointment,,$2.69,ea,$10.76 per 100g
Dentitex Mouthwash 500ml,,$4.69,500ml,94c per 100ml
Dentitex Mouthwash 1L Ultra Fresh or Tartar Control 1L,,$4.29,ea,43c per 100ml
Dentitex Orbit Toothbrush 2pk,,$3.69,2pk,$1.85 per unit
Dentitex Interdental Pro Toothbrush 2pk,,$1.89,2pk,95c per unit
Dentitex Sensitive Plus Whitening Toothpaste,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/2022/Q3/Products/1001349_ALN-2_PD_Q3_WEB-AUDIT_388x314_16a.jpg,$5.99,,$5.45 per 100g
Dentitex Advanced Whitening Toothpaste,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-8_HEALTH_PD_388x314_1.jpg,$2.29,140g,$1.63 per 100g
Dairy Fine Double Time Sharepack 180g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/chocolate/2022/Q1/Products/1000855_ALN-11_PD_Q1_WEB-AUDIT_388x314_54.jpg,$2.49,180g,$1.38 per 100g
Dairy Fine Dreemy Sharepack 216g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/chocolate/2022/Q1/Products/1000855_ALN-11_PD_Q1_WEB-AUDIT_388x314_24.jpg,$2.49,,$1.15 per 100g
Dairy Fine Racer Chocolate Bar Sharepack 216g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_6a.jpg,$2.49,,$1.15 per 100g
Dairy Fine Peanut Munchers 180g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_5.jpg,$2.49,,$1.38 per 100g
Dairy Fine Chocolate Munchers 180g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_4.jpg,$2.49,,$1.38 per 100g
Dairy Fine Titan Chocolate Bar Sharepack 216g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_3.jpg,$2.49,,$1.15 per 100g
Dairy Fine Romeo Chocolate Bar Sharepack 216g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_2.jpg,$2.49,,$1.15 per 100g
Knoppers 8pk/200g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_1.jpg,$3.99,,$2 per 100g
Just Organic Dark Chocolate 100g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Chocolate__PD_388x314_2.jpg,$2.99,,$2.99 per 100g
